은행,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,현금배당수익률,현금배당성향(%)
신한은행,15.95 ,12.28 ,9.13 ,0.72 ,1164.91 ,1174.17 ,2.94 ,23.57 
국민은행,10.24 ,8.52 ,10.18 ,0.82 ,1182.97 ,1564.67 ,3.03 ,23.15 
우리은행,9.11 ,6.46 ,7.42 ,0.49 ,1438.04 ,509.19 ,3.61 ,26.71 
하나은행,6.94 ,5.41 ,8.79 ,0.60 ,1350.34 ,1577.55 ,3.52 ,20.53 
기업은행,12.07 ,8.98 ,7.98 ,0.57 ,1284.07 ,501.92 ,3.05 ,21.04 
부산은행,12.33 ,8.82 ,5.82 ,0.45 ,1392.36 ,369.80 ,2.44 ,18.60 
대구은행,11.24 ,8.68 ,7.97 ,0.57 ,1252.16 ,396.12 ,3.22 ,19.03 
제주은행,16.16 ,12.05 ,6.79 ,0.47 ,1274.24 ,265.86 ,1.40 ,8.80 
전북은행,15.18 ,11.54 ,7.86 ,0.57 ,1242.05 ,299.05 ,1.65 ,8.26 
